epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0141,3.05448,3.87106,1.71471,0.33481,0.0865,0.0501,0.01578,3.42858,4.36207,2.04493,0.00332026,0.00332026,0.0701176
2,79.6459,2.85534,3.03409,1.58288,0.48001,0.03874,0.05446,0.01743,3.0531,6.17626,1.70246,0.00632424,0.00632424,0.0397883
3,115.03,2.69923,2.65952,1.53452,0.30321,0.24531,0.19002,0.06528,2.78651,2.82903,1.63059,0.00899822,0.00899822,0.00912894
4,150.411,2.6106,2.45289,1.46906,0.3989,0.30701,0.24909,0.08003,2.73891,2.41243,1.58282,0.008515,0.008515,0.008515
5,186.191,2.53628,2.2558,1.43069,0.41089,0.33267,0.27438,0.09484,2.60568,2.50484,1.60382,0.00802,0.00802,0.00802
6,222.23,2.46057,2.1633,1.40837,0.48006,0.3907,0.34219,0.12918,2.43782,2.22549,1.47683,0.007525,0.007525,0.007525
7,257.727,2.43526,2.08892,1.41242,0.50735,0.39255,0.34892,0.12217,2.52509,2.25836,1.56111,0.00703,0.00703,0.00703
8,293.042,2.38967,1.99482,1.37213,0.57878,0.43276,0.40373,0.15581,2.36682,2.05115,1.46603,0.006535,0.006535,0.006535
9,328.731,2.34951,1.941,1.36618,0.61882,0.44911,0.43613,0.15745,2.39312,2.0319,1.45574,0.00604,0.00604,0.00604
10,365.299,2.33074,1.89602,1.35602,0.54101,0.42695,0.38633,0.13993,2.38834,2.21805,1.44994,0.005545,0.005545,0.005545
11,419.321,2.24082,1.83918,1.43725,0.62886,0.45422,0.4374,0.16962,2.34669,2.00304,1.45154,0.00505,0.00505,0.00505
12,454.277,2.19535,1.76032,1.42456,0.58577,0.43569,0.4151,0.15831,2.36073,1.99848,1.42719,0.004555,0.004555,0.004555
13,489.317,2.17165,1.73841,1.4027,0.64492,0.49681,0.4812,0.19003,2.27422,1.8815,1.42156,0.00406,0.00406,0.00406
14,524.587,2.15916,1.6867,1.38864,0.6313,0.48184,0.46334,0.16866,2.32926,1.90038,1.42101,0.003565,0.003565,0.003565
15,559.833,2.13215,1.64478,1.38544,0.68979,0.50611,0.49323,0.20469,2.24661,1.86974,1.4142,0.00307,0.00307,0.00307
16,595.354,2.12004,1.63323,1.37456,0.70074,0.51094,0.5071,0.20848,2.22796,1.82638,1.38998,0.002575,0.002575,0.002575
17,630.926,2.09186,1.59454,1.36564,0.68777,0.51445,0.51805,0.2116,2.22944,1.7751,1.40345,0.00208,0.00208,0.00208
18,666.546,2.05552,1.54909,1.35293,0.70934,0.5163,0.53512,0.22765,2.1908,1.7149,1.37955,0.001585,0.001585,0.001585
19,702.418,2.0421,1.51598,1.34762,0.75211,0.55095,0.57288,0.24363,2.16546,1.67297,1.37717,0.00109,0.00109,0.00109
20,737.903,2.01449,1.47191,1.34217,0.76299,0.54592,0.57223,0.24461,2.15762,1.67666,1.36946,0.000595,0.000595,0.000595
