epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3738,3.02421,4.03226,1.7916,0.45747,0.06879,0.03685,0.0124,3.20334,14.4564,1.77669,0.00332026,0.00332026,0.0701176
2,104.682,2.81169,3.15593,1.70179,0.25358,0.15342,0.11004,0.03975,2.88234,3.32349,1.55765,0.00599489,0.00599489,0.0394589
3,140.525,2.68787,2.8178,1.6491,0.249,0.17491,0.11271,0.03889,2.9171,3.71923,1.59893,0.00800952,0.00800952,0.00814024
4,177.035,2.59063,2.57185,1.59818,0.38371,0.24498,0.19701,0.07159,2.65677,2.65554,1.49709,0.00703,0.00703,0.00703
5,213.254,2.48071,2.3626,1.54221,0.34816,0.2214,0.17386,0.05271,2.96645,2.73182,1.56567,0.00604,0.00604,0.00604
6,248.274,2.43177,2.21141,1.50554,0.45674,0.33985,0.29728,0.11102,2.51559,2.3825,1.43649,0.00505,0.00505,0.00505
7,285.469,2.34028,2.07882,1.47437,0.52831,0.38035,0.3501,0.14098,2.41268,2.2426,1.41458,0.00406,0.00406,0.00406
8,322.369,2.29456,1.95118,1.45136,0.59928,0.42157,0.40205,0.16019,2.37227,2.13381,1.40046,0.00307,0.00307,0.00307
9,358.419,2.24917,1.89391,1.43179,0.60289,0.43514,0.40522,0.16277,2.31118,2.06994,1.37315,0.00208,0.00208,0.00208
10,394.629,2.18926,1.78596,1.40117,0.62888,0.45934,0.43358,0.17853,2.27333,2.00732,1.35926,0.00109,0.00109,0.00109
