epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0308,2.96256,4.84148,1.67356,0.35248,0.24246,0.20108,0.07195,2.51364,2.63493,1.53866,0.000332147,0.000332147,0.000332147
2,81.6222,2.60401,3.04031,1.37558,0.49313,0.3366,0.30981,0.10861,2.51083,2.39262,1.60648,0.000658892,0.000658892,0.000658892
3,120.997,2.52879,2.54231,1.32691,0.54057,0.38634,0.36615,0.12843,2.41946,2.17364,1.46886,0.000979037,0.000979037,0.000979037
4,160.351,2.42094,2.21904,1.28384,0.60406,0.43664,0.43301,0.16648,2.33122,2.00361,1.47555,0.0009703,0.0009703,0.0009703
5,201.9,2.3788,2.07085,1.26852,0.69024,0.45191,0.4758,0.17951,2.29216,1.89239,1.44127,0.0009604,0.0009604,0.0009604
6,240.742,2.31376,1.95135,1.23117,0.74764,0.47038,0.51701,0.20713,2.24009,1.81381,1.44665,0.0009505,0.0009505,0.0009505
7,281.041,2.27129,1.86404,1.23017,0.73285,0.52063,0.54363,0.21311,2.22977,1.73697,1.46325,0.0009406,0.0009406,0.0009406
8,317.584,2.25275,1.80767,1.20407,0.78721,0.55294,0.5934,0.24244,2.17737,1.64964,1.38909,0.0009307,0.0009307,0.0009307
9,354.521,2.21348,1.7331,1.19994,0.76438,0.55752,0.58834,0.23661,2.17475,1.65889,1.40401,0.0009208,0.0009208,0.0009208
10,394.215,2.18902,1.69374,1.18723,0.76351,0.56347,0.58429,0.23504,2.17331,1.6774,1.43013,0.0009109,0.0009109,0.0009109
11,433.049,2.16471,1.6749,1.16937,0.80395,0.5549,0.61856,0.2529,2.15466,1.58063,1.36365,0.000901,0.000901,0.000901
12,471.911,2.16146,1.63258,1.17188,0.80311,0.59654,0.62145,0.24869,2.20845,1.58102,1.43085,0.0008911,0.0008911,0.0008911
13,506.92,2.12973,1.60431,1.16283,0.81683,0.59639,0.63477,0.26022,2.1445,1.54433,1.3893,0.0008812,0.0008812,0.0008812
14,542.048,2.1323,1.60008,1.15994,0.80858,0.57663,0.62275,0.25924,2.15533,1.53556,1.38282,0.0008713,0.0008713,0.0008713
15,576.296,2.11393,1.57211,1.15009,0.80678,0.58711,0.62123,0.24542,2.20555,1.59928,1.40479,0.0008614,0.0008614,0.0008614
16,609.574,2.0994,1.55441,1.1476,0.83694,0.59224,0.63464,0.26176,2.14,1.49845,1.36247,0.0008515,0.0008515,0.0008515
17,643.216,2.08487,1.51152,1.14162,0.79822,0.59029,0.61637,0.24704,2.18471,1.55404,1.4146,0.0008416,0.0008416,0.0008416
18,677.598,2.05926,1.49135,1.13411,0.84576,0.60368,0.6403,0.25476,2.19918,1.49123,1.39595,0.0008317,0.0008317,0.0008317
19,712.199,2.05686,1.47219,1.12068,0.83369,0.59796,0.64362,0.24754,2.18795,1.50622,1.35225,0.0008218,0.0008218,0.0008218
20,747.03,2.04792,1.46526,1.12738,0.81792,0.61018,0.63949,0.26109,2.15278,1.50719,1.34458,0.0008119,0.0008119,0.0008119
21,781.489,2.05026,1.45974,1.11985,0.84837,0.62456,0.67109,0.28543,2.0715,1.41652,1.31552,0.000802,0.000802,0.000802
22,816.245,2.02785,1.42619,1.1196,0.81754,0.60089,0.63669,0.26144,2.21227,1.45539,1.45466,0.0007921,0.0007921,0.0007921
23,850.784,2.02837,1.42289,1.11451,0.86744,0.63879,0.68097,0.28892,2.08534,1.41683,1.33817,0.0007822,0.0007822,0.0007822
24,885.104,2.02373,1.41815,1.10932,0.85397,0.61263,0.65825,0.26704,2.19124,1.44912,1.38289,0.0007723,0.0007723,0.0007723
25,919.357,2.01096,1.39498,1.11154,0.8664,0.64659,0.68451,0.28662,2.14323,1.39598,1.37993,0.0007624,0.0007624,0.0007624
26,953.458,1.9831,1.35079,1.09706,0.88657,0.65195,0.69653,0.3021,2.08059,1.34011,1.33096,0.0007525,0.0007525,0.0007525
27,987.601,1.98668,1.37387,1.09233,0.88193,0.62911,0.68,0.29346,2.06989,1.40997,1.3099,0.0007426,0.0007426,0.0007426
28,1021.94,1.96181,1.34067,1.09192,0.84688,0.6315,0.6689,0.28225,2.12197,1.40994,1.33176,0.0007327,0.0007327,0.0007327
29,1056.38,1.97815,1.36261,1.09112,0.89457,0.65669,0.70742,0.30301,2.06851,1.334,1.31748,0.0007228,0.0007228,0.0007228
30,1090.71,1.93614,1.3219,1.08413,0.8687,0.64294,0.69392,0.29383,2.13394,1.36525,1.34504,0.0007129,0.0007129,0.0007129
31,1124.78,1.96411,1.32712,1.09004,0.86462,0.65251,0.69227,0.30215,2.06272,1.3511,1.3186,0.000703,0.000703,0.000703
32,1158.85,1.95064,1.32555,1.07865,0.85914,0.63922,0.6838,0.288,2.1242,1.37817,1.36279,0.0006931,0.0006931,0.0006931
33,1192.83,1.91669,1.29822,1.07812,0.89181,0.65604,0.71192,0.31857,2.02455,1.29823,1.28045,0.0006832,0.0006832,0.0006832
34,1226.86,1.92391,1.28166,1.07097,0.86805,0.65798,0.70591,0.3089,2.06388,1.30783,1.28569,0.0006733,0.0006733,0.0006733
35,1260.99,1.93074,1.30568,1.07012,0.88203,0.64676,0.69797,0.29012,2.17872,1.31639,1.37237,0.0006634,0.0006634,0.0006634
36,1295.23,1.90147,1.27683,1.0686,0.89362,0.67447,0.71492,0.32545,2.02632,1.31487,1.28568,0.0006535,0.0006535,0.0006535
37,1329.58,1.89854,1.25581,1.0603,0.86102,0.65012,0.69451,0.29671,2.14036,1.29758,1.34853,0.0006436,0.0006436,0.0006436
38,1363.52,1.89989,1.27633,1.05657,0.88074,0.66536,0.70452,0.31143,2.05796,1.2834,1.2855,0.0006337,0.0006337,0.0006337
39,1397.68,1.8845,1.22341,1.06371,0.87717,0.66106,0.70492,0.30601,2.09345,1.27938,1.30549,0.0006238,0.0006238,0.0006238
40,1431.44,1.87022,1.21344,1.06518,0.8816,0.67374,0.71865,0.32572,2.02184,1.27578,1.28436,0.0006139,0.0006139,0.0006139
41,1465.36,1.8631,1.22452,1.05647,0.86787,0.65312,0.69498,0.28888,2.15306,1.28972,1.34116,0.000604,0.000604,0.000604
42,1499.6,1.85791,1.21255,1.05746,0.89917,0.67451,0.72608,0.31698,2.03344,1.24249,1.27655,0.0005941,0.0005941,0.0005941
43,1533.92,1.87129,1.23415,1.05033,0.88467,0.67125,0.72123,0.3157,2.06798,1.24206,1.29862,0.0005842,0.0005842,0.0005842
44,1567.96,1.86203,1.21543,1.05458,0.88368,0.67581,0.72557,0.32273,2.03979,1.23756,1.28397,0.0005743,0.0005743,0.0005743
45,1602.13,1.85084,1.20304,1.04468,0.89841,0.67745,0.72718,0.32642,2.01399,1.242,1.26331,0.0005644,0.0005644,0.0005644
46,1636.2,1.84601,1.20137,1.04265,0.89984,0.67425,0.72926,0.3286,2.03615,1.22359,1.2796,0.0005545,0.0005545,0.0005545
47,1670.13,1.84267,1.19078,1.04575,0.89641,0.67152,0.71645,0.32273,2.04143,1.23647,1.26508,0.0005446,0.0005446,0.0005446
48,1704.05,1.82255,1.16988,1.04543,0.88619,0.67872,0.72753,0.33192,2.02418,1.20667,1.28371,0.0005347,0.0005347,0.0005347
49,1737.94,1.83015,1.17696,1.04372,0.88376,0.67935,0.72898,0.33068,2.02939,1.20771,1.28456,0.0005248,0.0005248,0.0005248
50,1772.12,1.79917,1.15649,1.03627,0.88842,0.69847,0.74148,0.34526,1.97049,1.18595,1.23999,0.0005149,0.0005149,0.0005149
51,1806.36,1.81373,1.16708,1.03492,0.88799,0.68879,0.73637,0.34957,1.95911,1.20885,1.24038,0.000505,0.000505,0.000505
52,1840.31,1.80848,1.16156,1.03172,0.89524,0.66759,0.73503,0.34401,1.96332,1.19854,1.24109,0.0004951,0.0004951,0.0004951
53,1874.33,1.77864,1.13729,1.03318,0.87344,0.68195,0.72468,0.31895,2.07081,1.21375,1.30833,0.0004852,0.0004852,0.0004852
54,1908.19,1.78402,1.13087,1.0249,0.90478,0.68867,0.74434,0.35062,1.94796,1.1819,1.22854,0.0004753,0.0004753,0.0004753
55,1942.08,1.78825,1.13924,1.02131,0.90181,0.68208,0.73655,0.33073,2.03884,1.19225,1.29067,0.0004654,0.0004654,0.0004654
56,1976.41,1.77154,1.11723,1.02197,0.89285,0.68386,0.73516,0.34764,1.96801,1.15241,1.22982,0.0004555,0.0004555,0.0004555
57,2010.59,1.76867,1.12154,1.01846,0.91125,0.67062,0.73299,0.33353,2.02712,1.20592,1.27684,0.0004456,0.0004456,0.0004456
58,2044.66,1.75006,1.10401,1.0169,0.88008,0.68147,0.73235,0.32957,2.04852,1.19324,1.29045,0.0004357,0.0004357,0.0004357
59,2078.69,1.75476,1.11202,1.02083,0.8917,0.68724,0.74418,0.34978,1.97419,1.164,1.22656,0.0004258,0.0004258,0.0004258
60,2112.97,1.74425,1.10496,1.01588,0.86843,0.68554,0.72975,0.32424,2.06656,1.18713,1.28858,0.0004159,0.0004159,0.0004159
61,2147,1.74997,1.09357,1.01694,0.90243,0.6849,0.74609,0.35696,1.95113,1.15428,1.23206,0.000406,0.000406,0.000406
62,2181.01,1.74589,1.09501,1.01074,0.91409,0.69212,0.75391,0.36029,1.92703,1.13531,1.21628,0.0003961,0.0003961,0.0003961
63,2215,1.72238,1.08181,1.00675,0.89242,0.68949,0.74602,0.35143,1.94532,1.14292,1.23672,0.0003862,0.0003862,0.0003862
64,2249.12,1.74375,1.09009,1.01236,0.89262,0.70281,0.75526,0.35988,1.91248,1.13459,1.20532,0.0003763,0.0003763,0.0003763
65,2283.53,1.71817,1.08134,1.00599,0.90165,0.68559,0.7469,0.34984,1.98057,1.1256,1.26078,0.0003664,0.0003664,0.0003664
66,2317.54,1.71922,1.06377,0.99971,0.90845,0.7012,0.75584,0.36636,1.92355,1.12424,1.21325,0.0003565,0.0003565,0.0003565
67,2351.5,1.70054,1.05137,1.00941,0.90842,0.69987,0.75685,0.35489,1.9596,1.13114,1.23337,0.0003466,0.0003466,0.0003466
68,2385.42,1.69911,1.04855,0.99865,0.89811,0.69177,0.75161,0.36401,1.93226,1.12962,1.21629,0.0003367,0.0003367,0.0003367
69,2419.28,1.69844,1.05428,0.9963,0.90616,0.70079,0.75239,0.36198,1.93703,1.11483,1.22267,0.0003268,0.0003268,0.0003268
70,2453.34,1.67646,1.02895,0.99065,0.90455,0.69644,0.75211,0.35714,1.95273,1.11511,1.23395,0.0003169,0.0003169,0.0003169
71,2487.59,1.68384,1.04446,0.9963,0.91635,0.68488,0.75116,0.35624,1.9481,1.11338,1.22559,0.000307,0.000307,0.000307
72,2521.71,1.66748,1.02469,0.99498,0.92219,0.69816,0.76228,0.36548,1.92743,1.09961,1.22303,0.0002971,0.0002971,0.0002971
73,2555.73,1.67798,1.03197,0.99658,0.89592,0.71083,0.75714,0.35188,1.96739,1.11131,1.24585,0.0002872,0.0002872,0.0002872
74,2589.86,1.683,1.0388,0.99045,0.8948,0.70646,0.75835,0.36452,1.91795,1.09502,1.20224,0.0002773,0.0002773,0.0002773
75,2623.72,1.64421,1.00744,0.98236,0.91044,0.70762,0.76201,0.36804,1.90509,1.09487,1.20119,0.0002674,0.0002674,0.0002674
76,2657.57,1.65546,1.01592,0.98752,0.90881,0.70779,0.76315,0.37253,1.90674,1.07971,1.19856,0.0002575,0.0002575,0.0002575
77,2691.48,1.64896,1.01362,0.98451,0.90047,0.71183,0.76405,0.36547,1.93437,1.09501,1.21708,0.0002476,0.0002476,0.0002476
78,2725.56,1.64675,1.00901,0.98458,0.91436,0.70418,0.76298,0.36349,1.93399,1.08637,1.22208,0.0002377,0.0002377,0.0002377
79,2759.77,1.62318,0.99963,0.98043,0.90376,0.71474,0.76551,0.37433,1.89135,1.0741,1.19605,0.0002278,0.0002278,0.0002278
80,2793.58,1.61038,0.97476,0.97576,0.89477,0.71049,0.7632,0.36999,1.89438,1.08465,1.19195,0.0002179,0.0002179,0.0002179
81,2827.59,1.61911,0.98441,0.9753,0.90454,0.71314,0.76412,0.37194,1.89673,1.07037,1.19046,0.000208,0.000208,0.000208
82,2861.64,1.61517,0.9931,0.97732,0.90457,0.71266,0.76162,0.36647,1.90754,1.07622,1.20729,0.0001981,0.0001981,0.0001981
83,2895.86,1.60269,0.97685,0.97472,0.88819,0.72308,0.76934,0.37969,1.87071,1.06331,1.18626,0.0001882,0.0001882,0.0001882
84,2930.27,1.59742,0.98319,0.97458,0.90558,0.71678,0.76566,0.37584,1.88639,1.07279,1.19524,0.0001783,0.0001783,0.0001783
85,2964.82,1.61056,0.98025,0.97315,0.89233,0.72324,0.76546,0.37751,1.88026,1.06747,1.18943,0.0001684,0.0001684,0.0001684
86,2999.41,1.59743,0.97227,0.96768,0.90413,0.71399,0.76557,0.37642,1.88778,1.07529,1.18963,0.0001585,0.0001585,0.0001585
87,3033.98,1.59388,0.96415,0.97243,0.89209,0.72066,0.76636,0.37845,1.8851,1.06835,1.18806,0.0001486,0.0001486,0.0001486
88,3068.59,1.58943,0.96392,0.97422,0.9008,0.71234,0.7684,0.37619,1.88205,1.06787,1.1883,0.0001387,0.0001387,0.0001387
89,3103.18,1.58687,0.97337,0.96725,0.89397,0.7166,0.76823,0.37404,1.89565,1.06919,1.19569,0.0001288,0.0001288,0.0001288
90,3137.76,1.56574,0.96444,0.96753,0.89484,0.72351,0.76924,0.37939,1.87359,1.06499,1.18489,0.0001189,0.0001189,0.0001189
91,3200.97,1.53588,0.91626,0.99023,0.89813,0.70035,0.75081,0.36441,1.91303,1.09889,1.19767,0.000109,0.000109,0.000109
92,3235.49,1.48925,0.87446,0.9807,0.90453,0.69855,0.75473,0.36664,1.91358,1.09428,1.20163,9.91e-05,9.91e-05,9.91e-05
93,3269.98,1.47899,0.86997,0.97231,0.9085,0.70606,0.75775,0.37426,1.88759,1.08617,1.18527,8.92e-05,8.92e-05,8.92e-05
