epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9794,2.82306,5.38228,1.6655,0.57627,0.37475,0.3889,0.14229,2.3778,2.1238,1.70831,0.000332147,0.000332147,0.000332147
2,129.711,2.43552,2.1473,1.3864,0.62782,0.42943,0.45446,0.1749,2.29573,1.91828,1.68439,0.000658892,0.000658892,0.000658892
3,192.343,2.37276,1.95601,1.34614,0.68706,0.52777,0.54147,0.20642,2.35593,1.78684,1.72193,0.000979037,0.000979037,0.000979037
4,255.009,2.29484,1.81607,1.31881,0.63064,0.54632,0.5162,0.18921,2.34842,1.86067,1.70288,0.0009703,0.0009703,0.0009703
5,315.301,2.25834,1.71242,1.30531,0.77186,0.54884,0.59253,0.21958,2.33861,1.60985,1.69514,0.0009604,0.0009604,0.0009604
6,375.701,2.19241,1.63797,1.2627,0.774,0.59128,0.62746,0.2555,2.2133,1.53858,1.62615,0.0009505,0.0009505,0.0009505
7,436.091,2.16471,1.56806,1.2664,0.80053,0.60799,0.64736,0.26381,2.12879,1.52709,1.58205,0.0009406,0.0009406,0.0009406
8,496.302,2.1325,1.52856,1.24186,0.73154,0.61861,0.61095,0.24786,2.2493,1.59328,1.65996,0.0009307,0.0009307,0.0009307
9,557.682,2.10691,1.46783,1.23175,0.7995,0.58054,0.61977,0.25171,2.20041,1.58085,1.63355,0.0009208,0.0009208,0.0009208
10,618.614,2.07071,1.43869,1.21808,0.83847,0.58586,0.62424,0.23505,2.30534,1.51493,1.66158,0.0009109,0.0009109,0.0009109
11,679.458,2.05731,1.41064,1.20749,0.85116,0.63976,0.67657,0.28329,2.17006,1.4526,1.60018,0.000901,0.000901,0.000901
12,740.019,2.05311,1.37266,1.2119,0.77394,0.61122,0.62665,0.25151,2.36533,1.51841,1.75702,0.0008911,0.0008911,0.0008911
13,801.337,2.01488,1.34905,1.20657,0.82556,0.63765,0.67205,0.28347,2.18431,1.38268,1.63502,0.0008812,0.0008812,0.0008812
14,862.286,2.01875,1.34525,1.20381,0.82389,0.64488,0.67641,0.29567,2.12518,1.40782,1.58387,0.0008713,0.0008713,0.0008713
15,923.201,1.98639,1.32516,1.18255,0.85669,0.66494,0.70448,0.30428,2.11174,1.32055,1.5702,0.0008614,0.0008614,0.0008614
16,984.205,1.97358,1.2879,1.18551,0.83635,0.66922,0.705,0.3086,2.10179,1.35998,1.57059,0.0008515,0.0008515,0.0008515
17,1045.46,1.96308,1.26578,1.1897,0.85856,0.67809,0.70871,0.29237,2.14562,1.34681,1.59184,0.0008416,0.0008416,0.0008416
18,1106.66,1.94027,1.2483,1.17437,0.86325,0.66273,0.72133,0.31233,2.11041,1.31805,1.59095,0.0008317,0.0008317,0.0008317
19,1167.67,1.92513,1.23311,1.16618,0.86789,0.65823,0.70662,0.29695,2.14801,1.32568,1.59685,0.0008218,0.0008218,0.0008218
20,1228.66,1.91476,1.22843,1.16783,0.8743,0.65589,0.69928,0.29572,2.17726,1.34561,1.61129,0.0008119,0.0008119,0.0008119
21,1290.28,1.91998,1.22483,1.16379,0.89384,0.69696,0.73875,0.32827,2.04102,1.27601,1.54365,0.000802,0.000802,0.000802
22,1351.57,1.89819,1.20303,1.16159,0.87181,0.69411,0.72631,0.32139,2.0702,1.27227,1.55896,0.0007921,0.0007921,0.0007921
23,1412.47,1.88329,1.18188,1.15192,0.89353,0.67253,0.72567,0.32379,2.04481,1.30222,1.5383,0.0007822,0.0007822,0.0007822
24,1473.44,1.87383,1.18006,1.14539,0.89123,0.68121,0.73124,0.31787,2.08337,1.23247,1.55584,0.0007723,0.0007723,0.0007723
25,1535.09,1.86608,1.15723,1.1507,0.88542,0.70909,0.74473,0.34056,2.02007,1.23439,1.53473,0.0007624,0.0007624,0.0007624
26,1596.38,1.82774,1.11915,1.13399,0.8928,0.69511,0.74004,0.31871,2.09507,1.25585,1.56451,0.0007525,0.0007525,0.0007525
27,1657.22,1.84029,1.13882,1.13119,0.91374,0.68824,0.7437,0.33713,2.05878,1.23053,1.54369,0.0007426,0.0007426,0.0007426
28,1718.17,1.81755,1.12165,1.13523,0.85428,0.69141,0.7163,0.30918,2.09399,1.32919,1.56744,0.0007327,0.0007327,0.0007327
29,1779.61,1.83178,1.13745,1.1291,0.89074,0.71123,0.75574,0.33221,2.11256,1.2398,1.60277,0.0007228,0.0007228,0.0007228
