epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3797,3.68723,7.7792,1.72382,0,0,0,0,2.90224,5.32791,1.19148,0.00032381,0.00032381,0.00032381
2,16.2168,3.07606,5.24711,1.22953,0.00176,0.10044,0.02007,0.01055,2.65159,3.98216,1.14534,0.000644131,0.000644131,0.000644131
3,21.9712,2.74035,4.12386,1.12177,0.37158,0.10225,0.13908,0.05734,2.6177,3.0321,1.10898,0.000951253,0.000951253,0.000951253
4,27.8348,2.62533,3.54008,1.06326,0.38819,0.33055,0.26707,0.10563,2.46252,2.44386,1.07971,0.0009406,0.0009406,0.0009406
5,33.6308,2.5028,3.16462,1.05092,0.41494,0.39344,0.35401,0.14787,2.33221,2.10834,1.06863,0.0009208,0.0009208,0.0009208
6,39.4336,2.36144,2.83598,1.02391,0.454,0.49218,0.39158,0.1687,2.2711,2.07422,1.04643,0.000901,0.000901,0.000901
7,45.2047,2.27915,2.57145,1.01099,0.52357,0.42077,0.42883,0.18134,2.25224,1.96631,1.03408,0.0008812,0.0008812,0.0008812
8,51.0068,2.29247,2.44833,1.00606,0.59003,0.50754,0.49645,0.21393,2.1983,1.83636,1.01859,0.0008614,0.0008614,0.0008614
9,56.1446,2.24565,2.23758,0.97749,0.60682,0.52001,0.54226,0.23864,2.09164,1.67679,0.99703,0.0008416,0.0008416,0.0008416
10,61.5347,2.12173,2.06567,0.97286,0.74106,0.55533,0.59849,0.26603,2.07065,1.59837,0.99207,0.0008218,0.0008218,0.0008218
11,67.2721,2.12708,1.97534,0.97438,0.72637,0.56595,0.61347,0.2865,2.01153,1.59392,0.98154,0.000802,0.000802,0.000802
12,72.7404,2.0725,1.84243,0.95613,0.78253,0.58138,0.6443,0.28053,2.0406,1.50749,0.98225,0.0007822,0.0007822,0.0007822
13,78.132,2.08666,1.79989,0.95904,0.74494,0.59488,0.65993,0.29497,2.01059,1.43013,0.97969,0.0007624,0.0007624,0.0007624
14,83.6799,2.06149,1.76294,0.95108,0.80455,0.67562,0.73488,0.3229,1.98229,1.36873,0.97429,0.0007426,0.0007426,0.0007426
15,89.2947,2.0253,1.65976,0.95024,0.79362,0.63287,0.69084,0.29777,2.06262,1.35402,0.9894,0.0007228,0.0007228,0.0007228
16,95.0083,2.0065,1.59855,0.9557,0.77129,0.68123,0.72406,0.34139,1.95575,1.28846,0.96468,0.000703,0.000703,0.000703
17,100.466,2.00554,1.55616,0.95771,0.80202,0.64172,0.69356,0.30407,1.96507,1.39546,0.96864,0.0006832,0.0006832,0.0006832
18,106.152,1.9927,1.51609,0.93864,0.82675,0.68267,0.74286,0.33944,1.96683,1.2765,0.96033,0.0006634,0.0006634,0.0006634
19,111.886,2.00264,1.4961,0.94394,0.8015,0.64953,0.69969,0.32583,1.96084,1.28909,0.96336,0.0006436,0.0006436,0.0006436
20,117.57,1.95685,1.44488,0.93595,0.81624,0.68743,0.74611,0.33749,1.9077,1.28604,0.95336,0.0006238,0.0006238,0.0006238
21,123.228,1.9157,1.43155,0.9378,0.79521,0.68198,0.74449,0.34547,1.89281,1.23785,0.95162,0.000604,0.000604,0.000604
